,Num_Passengers,hour,ts
867,73,2,1761
868,73,3,2281
869,73,4,2837
870,73,5,3
871,73,22,6
872,73,23,107
873,74,0,108
874,74,1,432
875,74,2,1295
876,74,3,1861
877,74,4,2962
878,74,5,1
879,74,23,70
880,75,0,61
881,75,1,309
882,75,2,774
883,75,3,1717
884,75,4,2397
885,75,5,1
886,75,23,56
887,76,0,49
888,76,1,202
889,76,2,653
890,76,3,1432
891,76,4,2178
892,76,5,1
893,76,23,24
894,77,0,38
895,77,1,152
896,77,2,503
897,77,3,908
898,77,4,1400
899,77,5,3
900,77,23,13
901,78,0,6
902,78,1,79
903,78,2,314
904,78,3,713
905,78,4,1189
906,78,23,12
907,79,0,20
908,79,1,61
909,79,2,192
910,79,3,695
911,79,4,1116
912,79,23,28
913,80,0,37
914,80,1,2
915,80,2,146
916,80,3,400
917,80,4,1113
918,80,5,3
919,80,23,6
920,81,0,31
921,81,2,78
922,81,3,346
923,81,4,957
924,81,5,2
925,82,0,17
926,82,2,49
927,82,3,203
928,82,4,757
929,83,0,31
930,83,1,14
931,83,3,185
932,83,4,455
933,84,0,72
934,84,1,11
935,84,3,211
936,84,4,254
937,84,5,4
938,85,0,33
939,85,1,6
940,85,3,80
941,85,4,205
942,86,1,23
943,86,3,71
944,86,4,65
945,87,1,65
946,87,4,29
947,88,1,64
948,88,4,49
949,89,1,31
950,89,2,17
951,89,4,44
952,90,1,10
953,90,2,62
954,90,4,59
955,91,2,79
956,91,3,2
957,91,4,33
958,92,2,62
959,92,3,27
960,93,2,41
961,93,3,51
962,94,3,40
963,95,3,26
964,96,3,26
965,96,4,12
966,97,3,36
967,97,4,21
968,98,3,45
969,98,4,80
970,99,4,74
971,100,4,11
972,101,4,8
